run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias
ERR527006	SAMEA2581978	ERX492209	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527006/ERR527006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527006/ERR527006_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527006/HV1_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527006/HV1_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527006	HV1_Run4
ERR527009	SAMEA2581981	ERX492212	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527009/ERR527009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527009/ERR527009_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527009/HV11_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527009/HV11_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527009	HV11_Run4
ERR527010	SAMEA2581982	ERX492213	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527010/ERR527010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527010/ERR527010_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527010/HV12_Run3.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527010/HV12_Run3.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527010	HV12_Run3
ERR527012	SAMEA2581984	ERX492215	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527012/ERR527012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527012/ERR527012_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527012/HV13_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527012/HV13_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527012	HV13_Run4
ERR527013	SAMEA2581985	ERX492216	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527013/ERR527013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527013/ERR527013_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527013/HV14_Run3.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527013/HV14_Run3.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527013	HV14_Run3
ERR527018	SAMEA2581990	ERX492221	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527018/ERR527018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527018/ERR527018_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527018/HV17_Run3.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527018/HV17_Run3.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527018	HV17_Run3
ERR527019	SAMEA2581991	ERX492222	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527019/ERR527019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527019/ERR527019_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527019/HV18_Run3.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527019/HV18_Run3.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527019	HV18_Run3
ERR527020	SAMEA2581992	ERX492223	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527020/ERR527020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527020/ERR527020_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527020/HV18_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527020/HV18_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527020	HV18_Run4
ERR527022	SAMEA2581994	ERX492225	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527022/ERR527022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527022/ERR527022_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527022/HV19_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527022/HV19_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527022	HV19_Run4
ERR527028	SAMEA2582000	ERX492231	PRJEB6337	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527028/ERR527028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR527/ERR527028/ERR527028_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527028/HV23_Run4.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR527/ERR527028/HV23_Run4.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR527/ERR527028	HV23_Run4
