clade_name	ERR527006d	ERR527007d	ERR527008d	ERR527009d	ERR527010d	ERR527011d	ERR527012d	ERR527013d	ERR527014d	ERR527015d	ERR527016d	ERR527017d	ERR527019d	ERR527020d	ERR527023d	ERR527024d	ERR527026d	ERR527027d	ERR527028d	ERR527029d	ERR527030d	ERR527031d	ERR527033d	ERR527034d	ERR527035d	ERR527036d	ERR527037d	ERR527038d	ERR527039d	ERR527041d	ERR527042d	ERR527044d	ERR527045d	ERR527046d	ERR527048d	ERR527049d	ERR527050d	ERR527051d	ERR527052d	ERR527054d	ERR527056d	ERR527057d	ERR527059d	ERR527060d	ERR527066d	ERR527067d	ERR527068d	ERR527069d	ERR527073d	ERR527074d	ERR527075d	ERR527078d	ERR527079d	ERR527080d	ERR527082d	ERR527084d	ERR527088d	ERR527090d	ERR527093d	ERR527094d	ERR527099d	ERR527100d	ERR527102d	ERR527104d	ERR527108d	ERR527109d	ERR527110d	ERR527113d	ERR527116d	ERR527118d	ERR527120d	ERR527123d	ERR527126d	ERR527129d	ERR527130d	ERR527131d	ERR527133d	ERR527134d	ERR527138d	ERR527139d	ERR527140d	ERR527141d	ERR527142d	ERR527145d	ERR527150d	ERR527151d	ERR527153d	ERR527156d	ERR527157d	ERR527162d	ERR527165d	ERR527168d	ERR527169d	ERR527173d	ERR527174d	ERR527179d	ERR527185d	ERR527189d	ERR527191d	ERR527194d	ERR527197d	ERR527199d	ERR527205d	ERR527207d	ERR527208d	ERR527209d	ERR527210d	ERR527211d	ERR527214d	ERR527217d	ERR527218d	ERR528293d	ERR528295d	ERR528297d	ERR528303d	ERR528304d	ERR528306d	ERR528307d	ERR528309d	ERR528310d	ERR528311d	ERR528312d	ERR528313d	ERR528315d	ERR528316d	ERR528319d	ERR528321d	ERR528322d	ERR528323d	ERR528327d	ERR528331d	ERR528334d	ERR528721d	ERR528724d	ERR528726d	ERR528727d	ERR528729d	ERR528734d	ERR528736d	ERR528737d	ERR528739d	ERR528740d	ERR528743d	ERR528747d	ERR528748d	ERR528749d	ERR532380d	ERR532382d	ERR532384d	ERR532385d	ERR532386d	ERR532387d	ERR532388d	ERR532389d	ERR532392d	ERR532619d	ERR532621d	ERR532623d
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.98533	100.0	99.97849	99.87198	100.0	100.0	100.0	100.0	99.99662	100.0	100.0	100.0	99.9855	97.5655	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.72418	99.23747	100.0	100.0	99.97085	100.0	99.99719	100.0	100.0	100.0	100.0	100.0	99.96282	99.9566	100.0	100.0	99.98185	100.0	99.92799	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99143	100.0	99.99707	100.0	100.0	100.0	100.0	99.95313	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.75216	100.0	100.0	100.0	100.0	100.0	100.0	99.65389	100.0	99.99423	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.98916	99.98674	100.0	100.0	100.0	100.0	99.89863	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.94885	100.0	99.87521	100.0	100.0	100.0	100.0	100.0	100.0	99.99928	100.0
k__Bacteria|p__Firmicutes	77.62184	54.4635	23.70435	24.42795	37.78218	33.26687	35.47386	60.08021	59.67048	13.17907	15.61071	31.54894	29.00916	31.53287	33.68463	0.0	36.55532	50.72383	49.44512	28.59776	26.50123	46.12904	50.66156	61.01116	29.70898	34.23582	43.63569	54.79969	54.93005	62.51043	42.37642	51.0898	23.28792	39.32245	39.97148	30.33695	30.58176	35.92544	38.8796	64.71187	43.98912	43.21992	59.64932	45.93918	30.25598	31.12208	19.17185	20.5773	29.56314	28.2278	28.79302	42.52411	49.59671	41.1785	39.9084	65.34655	47.99442	37.57452	35.54129	20.56107	37.4492	36.73718	27.59371	59.67656	50.2783	43.02306	46.8061	39.06687	52.21067	49.42561	52.30181	42.38325	58.94187	35.43733	27.53292	18.57329	48.14293	42.03697	38.67745	33.78329	64.23175	32.08269	32.59695	13.90839	28.99997	4.00156	16.67696	28.69901	30.69521	43.77411	52.73033	20.96892	11.69772	32.7766	30.88623	46.44597	40.31229	47.35173	33.29817	22.21558	55.44746	17.73792	20.22253	34.53875	29.83126	37.64378	55.51861	65.56464	0.0	30.31282	28.22375	93.01109	31.48618	23.65301	68.11355	7.15354	53.32974	90.05035	57.80396	18.65521	52.91365	27.49856	19.66234	35.97398	32.36135	42.42854	20.03228	14.06256	10.73883	55.75638	45.87776	54.36944	51.03239	26.23364	18.29861	80.25732	41.19128	19.46069	10.42024	21.25807	45.17446	4.0147	52.66341	60.51324	59.25497	63.00289	20.4988	28.83917	45.71937	52.28106	10.94917	12.38815	44.88323	34.80871	21.16891	19.98369	51.62199	41.24363
k__Bacteria|p__Bacteroidetes	17.82854	35.03794	68.5682	68.6636	59.33598	55.07242	53.5206	39.42429	38.90057	84.21405	81.78562	65.24929	64.0832	60.27165	58.90285	100.0	59.52411	41.97113	44.741	65.19467	69.25792	25.85456	44.03535	35.90004	68.50218	62.54307	54.304	41.1383	41.72565	33.40578	52.6419	39.56008	71.7613	54.46086	57.22408	64.24777	64.43558	62.1358	58.45235	29.85388	49.75563	50.72764	28.60366	50.50101	66.87122	62.7198	69.19387	67.35164	60.80843	69.16859	68.58603	50.17285	44.08221	48.28112	45.62984	27.19891	46.33304	55.84236	59.91836	78.37602	59.69318	60.21233	65.5908	36.51921	42.01627	54.09094	49.86304	53.91701	46.80864	39.99647	41.59965	53.16326	38.47871	61.00543	67.76842	76.27363	47.90893	54.51597	56.95954	61.758	34.17375	60.94647	58.9331	81.15268	65.57322	13.5469	77.27868	56.45089	62.91489	53.97729	42.35768	68.71047	26.63618	61.8102	64.04638	43.76714	58.27186	50.5817	48.69686	75.67872	38.94512	80.98097	77.68581	42.93958	59.74018	43.12465	34.69854	33.28872	100.0	66.44116	69.90555	5.68262	64.34658	68.82084	28.57317	84.30087	19.69221	0.4832	33.81595	62.64193	43.85029	1.23549	75.16944	61.36755	66.05119	43.94077	75.03595	80.96298	84.46555	39.4818	48.10668	40.08472	41.40205	64.8045	80.85791	15.47792	50.90257	77.6154	85.16571	76.70389	47.73533	95.9853	43.05079	28.85244	33.51363	32.28206	70.43907	64.96074	50.39446	42.0787	78.43135	76.83604	17.88572	53.63613	65.54693	76.20046	42.2159	44.51233
k__Bacteria|p__Proteobacteria	4.08837	5.18877	4.66956	4.4171	2.3063	11.20879	10.22858	0.43642	1.15174	2.59849	2.46644	3.20177	6.768	7.65129	5.79474	0.0	3.80079	6.87117	2.20112	4.63804	3.98047	5.36656	2.42365	2.11591	0.96665	2.64124	1.61336	0.87157	1.15374	3.85157	1.97458	1.92228	4.94563	5.47932	2.17263	5.20935	4.77449	1.82398	2.59077	4.89014	3.63057	3.35226	8.06119	0.95979	2.08738	3.39361	11.21442	11.59529	8.13498	0.84225	0.90635	6.01566	3.36843	9.24791	1.41352	4.32373	5.27909	1.78687	4.40969	0.73909	2.1533	2.19136	2.05954	3.02934	4.60453	2.61594	2.78702	6.81562	0.1738	6.5365	6.0266	2.08652	2.29636	2.572	2.41558	1.42715	3.72679	2.84921	1.80331	2.63368	1.5508	6.45821	7.8981	3.86893	5.23622	80.3095	5.96644	13.26588	6.1136	1.70858	3.01205	10.02009	54.15349	3.88107	3.6062	9.51901	1.26374	1.12881	16.65575	1.85775	4.07631	0.93543	1.05299	22.19427	9.72526	9.60895	7.1523	0.69849	0.0	3.10798	1.70522	1.28468	2.81729	4.35592	0.72557	1.57894	11.20745	8.78313	6.66141	14.42087	1.95226	0.42191	3.29499	1.76731	0.98184	11.88309	4.89374	4.34651	4.6737	2.42766	3.73736	2.94317	7.49587	2.51407	0.01943	1.68261	7.74496	2.82266	2.28435	1.91086	5.65323	0.0	3.9695	6.45199	7.01104	3.45977	3.97953	4.17946	2.95517	5.2074	6.64803	6.74469	34.4345	8.33521	4.96132	3.77803	5.52318	4.65229
k__Bacteria|p__Fusobacteria	0.38534	0.0	3.00989	2.36833	0.04449	0.12145	0.21147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55691	0.0	0.03141	0.09799	0.91072	1.13566	0.15827	0.0096	0.04207	0.5356	0.68305	0.0091	0.0	0.0	0.0	0.0	0.0	0.02459	0.0	0.70865	0.47325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57472	0.0017	2.57713	0.0	0.0	0.61803	1.42686	1.40909	0.0	0.01029	0.0	0.0	0.0725	0.0	0.14926	0.0	0.28494	0.0	0.0012	4.75595	0.0	0.44908	0.0	0.00838	0.0228	0.0	0.0	0.0	0.0	0.03049	0.02664	2.08724	1.78178	0.0277	0.01715	0.01328	1.75346	0.02944	0.44473	0.39926	0.0	0.00263	1.97743	0.01214	1.51728	0.27334	0.11703	1.12251	0.15726	7.1096	0.0	0.0	0.2306	0.0	0.00054	0.08259	0.0	1.01572	0.0	0.06445	0.00333	0.58247	0.0	2.53802	0.31202	0.0	0.02013	0.00555	0.01682	0.0002	2.8882	0.2388	6.96114	15.71814	0.59553	0.05402	3.01708	0.16815	0.0	0.00922	0.05873	0.00303	0.12104	0.0	0.38209	0.0	1.43258	1.27613	0.05147	0.0	4.23286	0.11435	0.13286	0.0	0.0	2.09998	0.0004	1.13155	0.0	0.04936	2.61324	0.12882	0.94507	0.04095	0.00167	0.00722	0.05646	3.78793	3.81631	0.56713	3.21757	8.21206	0.01603	0.00767	9.56537
k__Bacteria|p__Actinobacteria	0.07592	2.60686	0.04799	0.12302	0.53106	0.03761	0.14283	0.05907	0.27722	0.00839	0.1024	0.0	0.13964	0.36339	0.06087	0.0	0.08837	0.33587	1.16795	0.43386	0.06477	22.28004	2.30774	0.43729	0.13913	0.47626	0.26218	3.19044	2.19056	0.22824	0.39732	0.82219	0.00515	0.02872	0.15347	0.20594	0.20817	0.11479	0.07728	0.49571	2.62469	2.69258	0.41561	0.02529	0.38032	0.18738	0.41986	0.47576	0.77505	0.33449	0.30464	1.01127	0.56333	1.14362	5.1429	0.15658	0.39345	0.11718	0.12311	0.03473	0.70432	0.85794	0.0	0.29608	2.48328	0.27006	0.52807	0.14861	0.8055	3.82443	0.05369	0.40891	0.20383	0.9586	0.19585	1.94087	0.12828	0.57213	2.54536	0.06864	0.01426	0.06789	0.17259	0.00154	0.13497	0.16461	0.06578	0.06299	0.00297	0.41369	0.76932	0.14326	0.23585	0.06647	0.0	0.03728	0.15211	0.93722	1.26662	0.14532	0.51242	0.31609	0.9691	0.32407	0.11363	8.55357	0.09253	0.03531	0.0	0.11791	0.08814	0.00479	0.25264	0.28204	2.34315	0.00552	0.05245	0.07702	1.57785	1.20604	0.96041	0.29602	0.26877	0.65513	0.50844	0.37726	0.03803	0.24586	0.12192	0.90158	0.93504	0.90933	0.0	2.21419	0.70835	2.44929	0.05981	0.10125	0.02973	0.12544	0.3044	0.0	0.17505	1.54429	0.0858	0.2814	4.81447	0.32335	0.91626	0.23812	0.18352	0.21481	2.17195	0.00078	0.09032	0.01725	0.54013	0.02638
k__Bacteria|p__Firmicutes|c__Clostridia	75.90853	44.5116	18.96168	19.69297	33.64022	30.10462	32.14924	59.42873	58.49617	12.41679	14.62073	29.15158	22.21887	24.6297	24.15894	0.0	32.31292	49.32974	39.93952	24.5732	23.55203	33.44392	33.60878	33.96532	27.65306	29.0621	35.76156	42.28584	44.19681	51.94455	33.94608	24.55436	20.32675	33.37924	35.72218	27.24073	27.53953	34.98905	35.17577	58.51328	36.1648	35.67491	39.10785	45.13148	27.71929	27.83223	18.53174	20.00439	25.65714	26.04412	26.57352	30.29751	32.33899	31.86249	30.76256	46.63057	46.43132	33.01137	29.30037	18.2801	18.77384	20.96335	27.24697	46.55136	42.62971	26.8496	28.98316	28.05768	46.78563	43.62259	39.70872	29.19353	57.03384	27.89595	22.68848	16.30495	42.26155	37.35584	22.9189	29.42362	50.57962	29.5511	29.89106	11.92692	25.11245	3.12831	6.67276	21.05296	22.09208	22.37901	47.06636	16.08178	7.06629	23.54471	22.10382	42.85897	36.12219	40.84544	19.68604	20.96928	22.59069	12.5452	13.1103	25.86439	13.69136	29.2374	20.64461	49.84985	0.0	29.22359	25.65937	80.74241	22.6057	11.6141	16.37275	4.48927	4.61723	82.3176	55.51483	5.21684	46.42044	25.81244	16.73248	33.59975	30.38114	35.30299	18.82318	11.88826	9.17902	51.7222	35.95701	45.96565	48.01928	10.3061	11.44289	34.46158	23.01646	19.05827	5.77185	14.45499	25.33891	4.0147	45.89151	45.80612	36.35496	29.42233	14.80422	25.72788	41.45337	24.16589	5.68911	6.70036	41.17961	17.30582	11.05326	15.30894	45.70529	37.22015
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16.74946	34.93576	68.37923	68.46472	59.33598	55.07242	53.5206	39.42429	38.90057	84.21405	81.7819	65.24929	64.0832	60.27165	58.90285	100.0	59.52411	41.78315	43.59449	65.00946	69.19191	23.47408	44.03535	35.90004	68.50218	62.54307	54.24578	41.1383	41.71345	33.40578	52.6419	25.63997	71.7613	54.46086	57.20022	64.24777	64.43558	62.1358	58.45005	29.85388	49.75563	50.72764	27.39318	50.50101	66.86409	62.70566	69.19387	67.35164	60.69663	69.16859	68.57539	45.53574	39.53068	48.28112	43.23168	26.78611	46.31534	53.35933	59.878	78.37602	58.94747	59.41206	65.5908	36.42265	41.921	54.09094	49.84669	53.14099	46.80864	39.57892	38.38947	53.00514	38.43309	61.00543	65.49423	76.25884	44.51887	54.51597	56.93569	61.72239	34.17375	60.94647	58.92706	81.05805	64.99874	13.5469	76.10239	56.4446	62.91489	53.96485	42.33909	68.6774	26.63618	61.8102	64.04638	43.76714	58.27186	50.57842	48.69686	75.67481	38.94492	80.85233	77.68581	42.67376	59.73812	42.96832	34.69854	29.87047	100.0	66.44116	69.89315	5.68262	63.33327	68.26592	28.55736	84.30087	19.68991	0.4832	33.80636	62.64193	43.85029	1.23284	75.16944	61.36755	66.05119	43.93145	75.03595	80.93085	84.46555	39.47989	48.1032	35.48517	41.40205	64.8045	80.85791	15.47792	47.76402	77.6154	85.16571	73.00849	47.73533	95.9853	43.05079	28.85206	33.51363	32.28206	70.43869	64.96064	50.39446	40.08915	78.43135	76.82577	17.88572	53.61241	65.54401	76.20046	38.78181	44.50124
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3.64218	1.51918	3.51238	3.10971	0.77063	9.5368	8.20537	0.0	0.02177	2.14242	1.92533	0.17873	0.70048	0.96363	4.3976	0.0	0.22062	0.5842	0.259	2.41384	0.72979	1.15024	1.79247	0.48492	0.22363	0.79058	0.15263	0.04937	0.13908	1.11389	0.75121	0.47312	3.44773	3.40988	0.21943	4.13168	3.6924	0.53855	0.01328	3.67206	3.39535	3.10054	0.84086	0.0112	0.39296	0.98201	0.0	0.0	6.30991	0.30639	0.36065	4.53137	1.21829	6.56383	0.28595	2.00115	2.925	0.07905	1.55096	0.24176	1.34327	1.21261	1.0122	1.8749	2.42864	0.65177	0.67594	2.10204	0.0	0.92276	1.75144	0.63709	0.33676	0.43842	0.4976	0.1744	2.93305	1.58542	1.51663	0.26928	0.44942	0.20855	0.28185	0.07543	0.37632	0.0	1.64968	7.29303	0.91702	1.45132	0.00797	7.64668	0.02026	1.25171	1.25522	2.62985	0.0	1.0576	0.98097	1.02599	0.02856	0.13667	0.14889	0.10399	0.0	0.27115	0.00548	0.41797	0.0	0.06923	0.37974	0.0	0.20965	0.56807	0.01038	0.0	0.0	0.0	4.08466	0.0	0.12711	0.01328	0.01391	0.49371	0.39133	0.74382	0.22073	0.5811	0.0	0.01026	1.50794	0.36364	2.15935	0.0	0.00441	0.30483	0.0	0.22863	0.00733	0.05942	0.09005	0.0	1.34081	0.0	5.82519	0.09104	1.00544	0.04335	0.03622	0.61932	0.0	0.05872	2.85643	1.0196	0.01731	1.33178	3.87803	0.0868
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.30841	0.91333	0.35958	0.37965	0.39147	0.0	0.03321	0.2981	0.39998	0.1614	0.24962	0.20308	0.0	0.10107	0.19034	0.0	0.27897	0.34972	0.09069	0.57072	0.0166	0.37397	2.25275	1.39306	0.57266	0.59783	0.21737	0.34185	0.28518	0.94506	0.11493	0.14125	0.2327	0.31854	0.62843	0.28741	0.282	0.01885	0.01786	0.22183	0.12162	0.11053	0.90635	0.22484	0.17463	0.05236	0.18369	0.13276	0.23568	1.0789	1.0575	0.23464	0.67098	0.05916	0.4597	0.1213	0.00988	0.23119	0.33662	0.04761	0.05579	0.08255	0.1672	0.09779	0.69479	0.62536	0.77087	1.08645	0.8218	0.22331	0.39621	0.45791	0.13731	1.0681	0.81219	0.21556	0.28411	0.10632	0.22161	0.70033	0.29988	0.03315	0.08345	0.0	0.10991	0.05154	0.42794	0.19927	0.0	0.08903	0.69645	0.13932	0.20637	0.0728	0.0	0.05086	0.97517	0.03342	0.0	0.21835	0.21089	0.17704	0.31532	0.01969	0.38085	0.28837	0.16674	0.07629	0.0	0.08345	0.09595	6.73807	0.09775	0.65274	0.67819	0.28984	2.93639	0.57901	0.81637	0.46308	0.13504	0.43955	0.12718	0.15505	0.03593	0.0	0.27428	0.0978	0.0	0.49586	1.695	0.60153	0.15182	1.78458	0.0	0.70144	0.15071	0.09849	0.10663	0.76962	0.10806	0.0	0.40739	0.53725	0.06701	0.1006	0.27698	0.46408	0.11073	1.09492	0.14988	0.24145	0.35066	1.15386	0.27562	0.15426	0.1196	0.29219
